root@iranexpedia:~# dotnet-dump analyze /root/core_20251123_141914
Loading core dump: /root/core_20251123_141914 ...
Ready to process analysis commands. Type 'help' to list available commands or 'help [command]' to get detailed help on a command.
Type 'quit' or 'exit' to exit the session.
> dumpheap -stat                                                                                                                                                                                     
Statistics:
          MT   Count   TotalSize Class Name
7a5ac629e700       1          24 Microsoft.EntityFrameworkCore.Query.Internal.CompiledQueryCache+<>c__3<System.Collections.Generic.IAsyncEnumerable<<>f__AnonymousType219<System.Int64, System.Int32, System.String, System.Decimal, System.DateTime, System.String>>>
7a5ac634dc78       1          24 Microsoft.EntityFrameworkCore.ChangeTracking.Internal.Snapshot<System.Int64, System.Int32, System.Object>+<>c
7a5ac06c85e0       1          24 System.Collections.Generic.ObjectEqualityComparer<Microsoft.Extensions.DependencyModel.RuntimeFallbacks>
7a5ac06cc490       1          24 System.GenericEmptyEnumerator<System.Collections.Generic.KeyValuePair<System.String, System.String>>
7a5ac06cc798       1          24 Microsoft.Extensions.Configuration.ConfigurationKeyComparer
7a5ac06cfb48       1          24 System.Reflection.AssemblyName[]
7a5ac06cfe18       1          24 Serilog.Settings.Configuration.Assemblies.DependencyContextAssemblyFinder+<>c
7a5ac06e83d8       1          24 Microsoft.Extensions.DependencyModel.RuntimeAssetGroup+<>c
7a5ac06e9cf0       1          24 System.Buffers.SharedArrayPool<System.Reflection.AssemblyName>+<>c
7a5ac06ea028       1          24 Serilog.Settings.Configuration.Assemblies.DllScanningAssemblyFinder+<>c
7a5ac0709bf0       1          24 System.DefaultBinder
7a5ac0a23860       1          24 System.Collections.Immutable.ImmutableArray<System.Reflection.PortableExecutable.SectionHeader>
7a5ac0a2ada0       1          24 System.Reflection.PortableExecutable.SectionHeader[]
7a5ac0a2e668       1          24 System.Reflection.Metadata.MetadataStringDecoder
7a5ac06c9578       1          24 Serilog.Settings.Configuration.ConfigurationReader+<>c
7a5ac0a604f8       1          24 Microsoft.Extensions.DependencyInjection.ServiceProvider+<>c
7a5ac3a8c7b8       1          24 Microsoft.AspNetCore.Builder.HubEndpointRouteBuilderExtensions+<>c__DisplayClass2_0<ForexExchange.Hubs.NotificationHub>
7a5ac0a61a78       1          24 Serilog.Context.LogContextEnricher
7a5ac0a62308       1          24 Serilog.Sinks.SystemConsole.Output.OutputTemplateRenderer
7a5ac0a66e30       1          24 Serilog.Sinks.SystemConsole.Output.ExceptionTokenRenderer
7a5ac0afc7b0       1          24 System.Text.RegularExpressions.RegexNode[]
7a5ac0c889b8       1          24 System.Collections.Generic.ObjectEqualityComparer<System.Text.RegularExpressions.RegexNode>
7a5ac0c8b5e8       1          24 System.Reflection.Emit.LocalBuilder[]
7a5ac0ca7c38       1          24 System.Threading.Tasks.Task+<>c
7a5ac0ca7de0       1          24 System.Threading.Tasks.ThreadPoolTaskScheduler
7a5ac0ca8710       1          24 System.Threading.Tasks.ThreadPoolTaskScheduler+<>c
7a5ac0ca9080       1          24 Serilog.LoggerConfiguration+<>c__DisplayClass33_0
7a5ac0cab908       1          24 System.Threading.CancellationTokenSource+LinkedNCancellationTokenSource+<>c
7a5ac0caa818       1          24 Serilog.Core.Sinks.SafeAggregateSink
7a5ac0cac5c8       1          24 Serilog.Policies.PrimitiveScalarConversionPolicy
7a5ac0cac770       1          24 Serilog.Policies.SimpleScalarConversionPolicy
7a5ac0cac858       1          24 Serilog.Policies.EnumScalarConversionPolicy
7a5ac0cac948       1          24 Serilog.Policies.ByteArrayScalarConversionPolicy
7a5ac0caca78       1          24 Serilog.Policies.ByteMemoryScalarConversionPolicy
7a5ac0cacb78       1          24 Serilog.Policies.DelegateDestructuringPolicy
7a5ac0cacc68       1          24 Serilog.Policies.ReflectionTypesScalarDestructuringPolicy
7a5ac0d52928       1          24 Serilog.Core.Pipeline.ByReferenceStringComparer
7a5ac0d527b0       1          24 Serilog.Capturing.PropertyBinder
7a5ac0ca9b70       1          24 Serilog.LoggerConfiguration+<>c
7a5abee66cd0       1          24 Serilog.SerilogServiceCollectionExtensions+RegisteredLogger
7a5ac0d53ee0       1          24 System.Threading.AsyncLocal<Serilog.Extensions.Logging.SerilogLoggerScope>
7a5ac060f918       1          24 Microsoft.Extensions.Logging.Logger<Microsoft.Extensions.Hosting.Internal.ApplicationLifetime>
